,accuracy_score,sensitivity_score,specificity_score
0,0.8096666666666666,0.2931424265259985,0.9563449604108709
1,0.815,0.3971363978899774,0.9336614594478921
2,0.818,0.33308214016578747,0.9557029745345602
3,0.8165,0.34061793519216277,0.9516370639845924
4,0.817,0.3458929917106255,0.950781082816178
5,0.8176666666666667,0.34061793519216277,0.9531350310293174
6,0.8181666666666667,0.3421250941974378,0.9533490263214209
7,0.818,0.3813112283345893,0.9420072758399315
8,0.8145,0.3300678221552374,0.9520650545687995
9,0.8161666666666667,0.34061793519216277,0.9512090734003852
10,0.8193333333333334,0.3632253202712886,0.9488551251872459
11,0.8178333333333333,0.3421250941974378,0.9529210357372138
12,0.8213333333333334,0.36397889977392617,0.9512090734003852
13,0.8158333333333333,0.3760361718161266,0.9407233040873101
14,0.8165,0.3519216277317257,0.9484271346030387
15,0.8065,0.3285606631499623,0.9422212711320351
16,0.808,0.3707611152976639,0.9321634924031671
17,0.8183333333333334,0.36850037678975134,0.9460731863898995
18,0.8163333333333334,0.3624717407686511,0.9452172052214851
19,0.81,0.2803315749811605,0.9604108709608389
20,0.8136666666666666,0.3888470233609646,0.9343034453242028
21,0.817,0.39562923888470236,0.9366573935373422
22,0.8098333333333333,0.3059532780708365,0.9529210357372138
23,0.8171666666666667,0.3383571966842502,0.9531350310293174
24,0.815,0.34287867370007535,0.9490691204793494
25,0.817,0.3262999246420497,0.9563449604108709
26,0.8141666666666667,0.35267520723436324,0.9452172052214851
27,0.8151666666666667,0.3413715146948003,0.9497111063556601
28,0.8211666666666667,0.3654860587792012,0.9505670875240745
29,0.8171666666666667,0.3549359457422758,0.9484271346030387
