,accuracy_score,sensitivity_score,specificity_score
0,0.7995,0.39864355689525244,0.9133319066980526
1,0.806,0.4084400904295403,0.9188957842927455
2,0.8016666666666666,0.4189902034664657,0.9103359726086027
3,0.7938333333333333,0.3918613413715147,0.9079820243954633
4,0.7985,0.3948756593820648,0.9131179114059491
5,0.8006666666666666,0.413715146948003,0.9105499679007062
6,0.805,0.41974378296910325,0.9144018831585705
7,0.8081666666666667,0.42049736247174074,0.9182537984164348
8,0.7953333333333333,0.3933685003767898,0.9094799914401883
9,0.8025,0.41748304446119067,0.9118339396533276
10,0.7981666666666667,0.4091936699321778,0.908624010271774
11,0.801,0.4114544084400904,0.9116199443612241
12,0.8016666666666666,0.40617935192162774,0.9139738925743633
13,0.8,0.4024114544084401,0.9129039161138455
14,0.7975,0.4091936699321778,0.9077680291033597
15,0.7961666666666667,0.3850791258477769,0.9129039161138455
16,0.8,0.4167294649585531,0.9088380055638776
17,0.7956666666666666,0.3948756593820648,0.9094799914401883
18,0.803,0.4114544084400904,0.914187887866467
19,0.8028333333333333,0.4031650339110776,0.9163278407875026
20,0.7978333333333333,0.3896006028636021,0.9137598972822598
21,0.8095,0.4212509419743783,0.9197517654611599
22,0.7935,0.3971363978899774,0.9060560667665312
23,0.7953333333333333,0.3775433308214017,0.9139738925743633
24,0.7995,0.4167294649585531,0.9081960196875669
25,0.801,0.41748304446119067,0.9099079820243955
26,0.7991666666666667,0.41220798794272795,0.9090520008559811
27,0.801,0.39638281838733985,0.9158998502032956
28,0.8065,0.41974378296910325,0.9163278407875026
29,0.8026666666666666,0.413715146948003,0.9131179114059491
