,accuracy_score,sensitivity_score,specificity_score
0,0.8256666666666667,0.36623963828183875,0.9561309651187674
1,0.821,0.35342878673700073,0.9537770169056281
2,0.821,0.35342878673700073,0.9537770169056281
3,0.8158333333333333,0.3436322532027129,0.9499251016477638
4,0.8168333333333333,0.34287867370007535,0.9514230686924887
5,0.8181666666666667,0.3556895252449133,0.9494971110635566
6,0.8203333333333334,0.34890730972117556,0.9542050074898353
7,0.8266666666666667,0.37678975131876413,0.9544190027819388
8,0.8163333333333334,0.34287867370007535,0.950781082816178
9,0.821,0.3677467972871138,0.9497111063556601
10,0.8201666666666667,0.36850037678975134,0.9484271346030387
11,0.8201666666666667,0.35870384325546345,0.9512090734003852
12,0.8231666666666667,0.36850037678975134,0.9522790498609031
13,0.8143333333333334,0.33685003767897514,0.9499251016477638
14,0.823,0.3617181612660136,0.9539910121977316
15,0.8178333333333333,0.3398643556895252,0.9535630216135245
16,0.819,0.3617181612660136,0.9488551251872459
17,0.8181666666666667,0.3519216277317257,0.9505670875240745
18,0.8186666666666667,0.3752825923134891,0.9445752193451744
19,0.8216666666666667,0.35041446872645066,0.9554889792424567
20,0.8205,0.3579502637528259,0.9518510592766959
21,0.8256666666666667,0.3730218538055765,0.9542050074898353
22,0.8126666666666666,0.3443858327053504,0.9456451958056923
23,0.8188333333333333,0.3519216277317257,0.9514230686924887
24,0.8178333333333333,0.37226827430293896,0.9443612240530709
25,0.821,0.3707611152976639,0.9488551251872459
26,0.8166666666666667,0.34890730972117556,0.9494971110635566
27,0.8225,0.36925395629238883,0.9512090734003852
28,0.8241666666666667,0.3632253202712886,0.9550609886582495
29,0.8181666666666667,0.35267520723436324,0.9503530922319708
