,accuracy_score,sensitivity_score,specificity_score
0,0.7788333333333334,0.0,1.0
1,0.7788333333333334,0.0,1.0
2,0.7788333333333334,0.0,1.0
3,0.7778333333333334,0.0,0.9987160282473786
4,0.7788333333333334,0.0,1.0
5,0.7786666666666666,0.0,0.9997860047078965
6,0.7788333333333334,0.0,1.0
7,0.7788333333333334,0.0,1.0
8,0.7788333333333334,0.0,1.0
9,0.7726666666666666,0.006782215523737754,0.9901562165632356
10,0.7788333333333334,0.0,1.0
11,0.7781666666666667,0.0,0.9991440188315857
12,0.7788333333333334,0.0,1.0
13,0.7788333333333334,0.0,1.0
14,0.7736666666666666,0.008289374529012811,0.99101219773165
15,0.7788333333333334,0.0,1.0
16,0.7788333333333334,0.0,1.0
17,0.7685,0.01733232856066315,0.9818104001711963
18,0.7788333333333334,0.0,1.0
19,0.7786666666666666,0.0,0.9997860047078965
20,0.7788333333333334,0.0,1.0
21,0.7773333333333333,0.00452147701582517,0.9967900706184464
22,0.7786666666666666,0.0007535795026375283,0.9995720094157928
23,0.7788333333333334,0.0,1.0
24,0.7788333333333334,0.0,1.0
25,0.7788333333333334,0.0,1.0
26,0.7758333333333334,0.0037678975131876413,0.9950781082816178
27,0.7785,0.0007535795026375283,0.9993580141236893
28,0.762,0.015825169555388093,0.973892574363364
29,0.7788333333333334,0.0,1.0
