,accuracy_score,sensitivity_score,specificity_score
0,0.6905,0.2765636774679729,0.8080462229830944
1,0.686,0.29992464204973623,0.795634496041087
2,0.6823333333333333,0.28560663149962323,0.7949925101647763
3,0.6876666666666666,0.2886209495101733,0.8009843783436764
4,0.6853333333333333,0.29992464204973623,0.7947785148726728
5,0.6815,0.2690278824415976,0.7986304301305371
6,0.6896666666666667,0.28334589299171065,0.8050502888936444
7,0.6958333333333333,0.2825923134890731,0.8131821099935801
8,0.6846666666666666,0.25018839487565936,0.8080462229830944
9,0.6873333333333334,0.2878673700075358,0.8007703830515729
10,0.6861666666666667,0.2788244159758855,0.8018403595120908
11,0.6968333333333333,0.3044461190655614,0.8082602182751979
12,0.6855,0.293896006028636,0.7967044725016049
13,0.6861666666666667,0.2878673700075358,0.7992724160068478
14,0.677,0.2592313489073097,0.795634496041087
15,0.6876666666666666,0.2886209495101733,0.8009843783436764
16,0.6855,0.292388847023361,0.7971324630858121
17,0.6823333333333333,0.2788244159758855,0.7969184677937086
18,0.6916666666666667,0.2931424265259985,0.8048362936015407
19,0.6886666666666666,0.26601356443104746,0.8086882088594051
20,0.6901666666666667,0.2848530519969857,0.8052642841857479
21,0.682,0.2690278824415976,0.7992724160068478
22,0.6873333333333334,0.2901281085154484,0.8001283971752622
23,0.6905,0.28183873398643555,0.8065482559383693
24,0.689,0.28409947249434814,0.8039803124331265
25,0.6878333333333333,0.2878673700075358,0.8014123689278836
26,0.6871666666666667,0.2705350414468726,0.8054782794778514
27,0.6898333333333333,0.2765636774679729,0.8071902418146801
28,0.685,0.2946495855312736,0.7958484913331907
29,0.6878333333333333,0.28937452901281085,0.8009843783436764
