,accuracy_score,sensitivity_score,specificity_score
0,0.5605,0.7430293896006028,0.5086668093301947
1,0.6978333333333333,0.6578749058025621,0.7091803980312433
2,0.7483333333333333,0.6096458176337604,0.7877166702332549
3,0.7371666666666666,0.5953278070836473,0.7774448962122833
4,0.6286666666666667,0.7083647324792766,0.6060346672373208
5,0.7093333333333334,0.6465712132629993,0.7271560025679435
6,0.6163333333333333,0.7490580256217031,0.5786432698480634
7,0.6128333333333333,0.7483044461190655,0.5743633640059919
8,0.7505,0.5817633760361718,0.7984164348384336
9,0.7398333333333333,0.6081386586284853,0.7772309009201798
10,0.7431666666666666,0.5990957045968349,0.7840787502674941
11,0.6395,0.7392614920874152,0.6111705542478065
12,0.6935,0.6895252449133383,0.6946287181682003
13,0.7393333333333333,0.6066314996232103,0.7770169056280762
14,0.7296666666666667,0.6330067822155238,0.7571153434624438
15,0.6393333333333333,0.7000753579502638,0.6220843141450888
16,0.658,0.6827430293896006,0.6509736785790713
17,0.7476666666666667,0.60060286360211,0.7894286325700834
18,0.6998333333333333,0.6646571213263,0.709822383907554
19,0.7028333333333333,0.6556141672946496,0.7162422426706613
20,0.637,0.6895252449133383,0.6220843141450888
21,0.7585,0.627731725697061,0.795634496041087
22,0.729,0.6232102486812359,0.759041301091376
23,0.6075,0.7226827430293896,0.574791354590199
24,0.6831666666666667,0.6963074604370761,0.6794350524288466
25,0.6895,0.6578749058025621,0.6984806334260646
26,0.7223333333333334,0.6171816126601356,0.7521934517440616
27,0.7636666666666667,0.5953278070836473,0.8114701476567515
28,0.7428333333333333,0.6307460437076111,0.7746629574149368
29,0.7046666666666667,0.6541070082893745,0.7190241814680077
