,accuracy_score,sensitivity_score,specificity_score
0,0.571,0.5305199698568199,0.5824951851059277
1,0.5561666666666667,0.49510173323285606,0.5735073828375776
2,0.5965,0.4581763376036172,0.6357800128397175
3,0.598,0.4370761115297664,0.6436978386475497
4,0.5776666666666667,0.49510173323285606,0.6011127755189386
5,0.6106666666666667,0.46721929163526754,0.6514016691632785
6,0.5806666666666667,0.49434815373021856,0.6051786860689065
7,0.554,0.4898266767143934,0.5722234110849561
8,0.5828333333333333,0.45365486058779203,0.6195163706398459
9,0.6111666666666666,0.44762622456669177,0.6576075326342821
10,0.5886666666666667,0.4544084400904295,0.6267922105713675
11,0.6146666666666667,0.47324792765636775,0.6548255938369356
12,0.555,0.520723436322532,0.5647335758613311
13,0.6026666666666667,0.4687264506405426,0.6407019045580997
14,0.6295,0.4348153730218538,0.6847849347314359
15,0.58,0.4822908816880181,0.6077466295741494
16,0.5895,0.49660889223813115,0.6158784506740852
17,0.626,0.43556895252449135,0.6800770383051573
18,0.5813333333333334,0.48907309721175585,0.6075326342820458
19,0.5821666666666667,0.47852298417483047,0.6115985448320137
20,0.537,0.5131876412961568,0.5437620372351808
21,0.6341666666666667,0.4431047475508666,0.6884228546971967
22,0.6261666666666666,0.45214770158251694,0.6755831371709823
23,0.5408333333333334,0.49660889223813115,0.5533918253798417
24,0.625,0.4845516201959307,0.6648833725658035
25,0.573,0.5131876412961568,0.5899850203295528
26,0.6191666666666666,0.4687264506405426,0.6618874384763536
27,0.6261666666666666,0.45516201959306707,0.6747271560025679
28,0.6223333333333333,0.4461190655614167,0.6723732077894287
29,0.573,0.5184626978146194,0.5884870532848278
